2016-06-03 19:51:04,621 | views | get | DEBUG | 404 Error.  No ingredients found with id 1. 
2016-06-03 19:51:04,638 | __init__ | teardown | INFO | tearing down fixtures... 
2016-06-03 19:51:04,638 | __init__ | setup | INFO | setting up fixtures... 
2016-06-03 19:51:04,638 | views | index | DEBUG | GET request for all ingredients 
2016-06-03 19:51:04,638 | views | index | DEBUG | GET request for all ingredients 
2016-06-03 19:51:04,654 | views | index | DEBUG | Arguments passed in:  {} 
2016-06-03 19:51:04,654 | views | index | DEBUG | Arguments passed in:  {} 
2016-06-03 19:51:04,690 | __init__ | teardown | INFO | tearing down fixtures... 
2016-06-03 19:51:04,690 | __init__ | setup | INFO | setting up fixtures... 
2016-06-03 19:51:04,707 | views | get | DEBUG | GET request for ingredients: id: 15 
2016-06-03 19:51:04,707 | views | get | DEBUG | GET request for ingredients: id: 15 
2016-06-03 19:51:04,707 | views | get | DEBUG | 404 Error.  No ingredients found with id 15. 
2016-06-03 19:51:04,707 | views | get | DEBUG | 404 Error.  No ingredients found with id 15. 
2016-06-03 19:51:04,707 | __init__ | teardown | INFO | tearing down fixtures... 
2016-06-03 19:51:04,723 | __init__ | setup | INFO | setting up fixtures... 
2016-06-03 19:51:04,723 | views | get | DEBUG | GET request for ingredients: id: 1 
2016-06-03 19:51:04,723 | views | get | DEBUG | GET request for ingredients: id: 1 
2016-06-03 19:51:04,737 | views | get | DEBUG | ingredients id:1 found. 
2016-06-03 19:51:04,737 | views | get | DEBUG | ingredients id:1 found. 
2016-06-03 19:51:04,737 | __init__ | teardown | INFO | tearing down fixtures... 
2016-06-03 19:51:04,753 | __init__ | setup | INFO | setting up fixtures... 
2016-06-03 19:51:04,753 | views | put | DEBUG | PUT request for ingredients: 
2016-06-03 19:51:04,753 | views | put | DEBUG | PUT request for ingredients: 
2016-06-03 19:51:04,769 | views | put | DEBUG | Incoming data: {u'department': {u'name': u'Meat', u'id': 3}} 
2016-06-03 19:51:04,769 | views | put | DEBUG | Incoming data: {u'department': {u'name': u'Meat', u'id': 3}} 
2016-06-03 19:51:04,776 | __init__ | teardown | INFO | tearing down fixtures... 
2016-06-03 19:51:04,776 | __init__ | setup | INFO | setting up fixtures... 
2016-06-03 19:51:04,792 | views | put | DEBUG | PUT request for ingredients: 
2016-06-03 19:51:04,792 | views | put | DEBUG | PUT request for ingredients: 
