2016-06-01 15:05:42,217 | views | update_object | DEBUG | PUT request for ingredients: 
2016-06-01 15:05:42,220 | views | update_object | DEBUG | Incoming data: {u'name': u'watermelon'} 
2016-06-01 15:05:42,256 | views | create_object | DEBUG | POST request for recipes: 
2016-06-01 15:05:42,302 | views | create_object | DEBUG | POST request for recipes: 
2016-06-01 15:05:42,319 | views | get_objects | DEBUG | GET request for all recipes 
2016-06-01 15:05:42,380 | views | delete_object | DEBUG | DELETE request for recipes 1: 
2016-06-01 15:05:42,391 | views | get_object | DEBUG | GET request for recipes: id: 1 
2016-06-01 15:05:42,421 | views | get_objects | DEBUG | GET request for all recipes 
2016-06-01 15:05:42,540 | views | get_object | DEBUG | GET request for recipes: id: 15 
2016-06-01 15:05:42,569 | views | get_object | DEBUG | GET request for recipes: id: 1 
2016-06-01 15:05:42,660 | views | update_object | DEBUG | PUT request for recipes: 
2016-06-01 15:05:42,663 | views | update_object | DEBUG | Incoming data: {u'name': u'Lasagna'} 
2016-06-01 15:05:42,713 | views | create_object | DEBUG | POST request for units: 
2016-06-01 15:05:42,720 | views | get_objects | DEBUG | GET request for all units 
2016-06-01 15:05:42,756 | views | delete_object | DEBUG | DELETE request for units 1: 
2016-06-01 15:05:42,763 | views | get_object | DEBUG | GET request for units: id: 1 
2016-06-01 15:05:42,792 | views | get_objects | DEBUG | GET request for all units 
2016-06-01 15:05:42,845 | views | get_object | DEBUG | GET request for units: id: 15 
2016-06-01 15:05:42,875 | views | get_object | DEBUG | GET request for units: id: 1 
2016-06-01 15:05:42,908 | views | update_object | DEBUG | PUT request for units: 
2016-06-01 15:05:42,911 | views | update_object | DEBUG | Incoming data: {u'name': u'liter'} 
2016-06-01 15:06:31,904 | __init__ | <module> | WARNING | THE APP IS STARTING 
2016-06-01 15:06:31,915 | models | <module> | DEBUG | loading models.py 
2016-06-01 15:06:32,016 | schemas | <module> | DEBUG | loading schemas.py 
2016-06-01 15:06:32,045 | views | <module> | DEBUG | loading views.py 
2016-06-01 15:06:33,947 | views | create_object | DEBUG | POST request for departments: 
2016-06-01 15:06:33,963 | views | get_objects | DEBUG | GET request for all departments 
2016-06-01 15:06:33,999 | views | delete_object | DEBUG | DELETE request for departments 1: 
2016-06-01 15:06:34,006 | views | get_object | DEBUG | GET request for departments: id: 1 
2016-06-01 15:06:34,036 | views | get_objects | DEBUG | GET request for all departments 
2016-06-01 15:06:34,089 | views | get_object | DEBUG | GET request for departments: id: 15 
2016-06-01 15:06:34,119 | views | get_object | DEBUG | GET request for departments: id: 1 
2016-06-01 15:06:34,160 | views | update_object | DEBUG | PUT request for departments: 
2016-06-01 15:06:34,161 | views | update_object | DEBUG | Incoming data: {u'name': u'floral'} 
2016-06-01 15:06:34,165 | models | update_from | DEBUG | Updating Produce from floral 
